variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"v10a"	"Variable Label"	"Weil sie überzeugt ist, dass man dadurch das AKW Temelin stilllegen kann"
"v10a"	"1"	"stimme zu"
"v10a"	"2"	"stimme nicht zu"
"v10a"	"3"	"W.N./K.A."
"v10b"	"Variable Label"	"Weil sie sich als Anti-Atompartei profilieren möchte"
"v10b"	"1"	"stimme zu"
"v10b"	"2"	"stimme nicht zu"
"v10b"	"3"	"W.N./K.A."
"v10c"	"Variable Label"	"Weil sie Wählerstimmen gewinnen will"
"v10c"	"1"	"stimme zu"
"v10c"	"2"	"stimme nicht zu"
"v10c"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Kann durch das Volksbegehren der FPÖ die Inbetriebnahme des AKW Temelin verhindert werden?"
"v11"	"1"	"ja"
"v11"	"2"	"nein"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Kann die SPÖ die westeuropäischen Staaten dazu bewegen, aus der Kernenergie auszusteigen?"
"v12"	"1"	"Ja, auf alle Fälle"
"v12"	"2"	"Eher schon"
"v12"	"3"	"Eher nicht"
"v12"	"4"	"Nein, auf keinen Fall"
"v12"	"5"	"W.N./K.A."
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"männlich"
"v13"	"2"	"weiblich"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"bis 25 Jahre"
"v14"	"2"	"26-35 Jahre"
"v14"	"3"	"36-50 Jahre"
"v14"	"4"	"51-65 Jahre"
"v14"	"5"	"ab 66 Jahre"
"v15"	"Variable Label"	"Schulbildung"
"v15"	"1"	"Hochschule"
"v15"	"2"	"Mittelschule"
"v15"	"3"	"Berufs- oder Handelsschule"
"v15"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v16"	"Variable Label"	"Tätigkeit"
"v16"	"1"	"in Ausbildung (Schule, Lehre, Universität)"
"v16"	"2"	"Pension"
"v16"	"3"	"nur im Haushalt tätig"
"v16"	"4"	"arbeitslos"
"v16"	"5"	"selbständig (inkl. Landwirte)"
"v16"	"6"	"Arbeiter"
"v16"	"7"	"Angestellter"
"v16"	"8"	"Beamter"
"v16"	"9"	"Anderes"
"v17"	"Variable Label"	"Aktuelle Parteipräferenz"
"v17"	"1"	"SPÖ"
"v17"	"2"	"FPÖ"
"v17"	"3"	"ÖVP"
"v17"	"4"	"Grüne"
"v17"	"5"	"LIF"
"v17"	"6"	"KPÖ"
"v17"	"7"	"Keine"
"v17"	"8"	"K.A."
"v18"	"Variable Label"	"Parteipräferenz früher"
"v18"	"1"	"SPÖ"
"v18"	"2"	"FPÖ"
"v18"	"3"	"ÖVP"
"v18"	"4"	"Grüne"
"v18"	"5"	"LIF"
"v18"	"6"	"KPÖ"
"v18"	"7"	"Keine"
"v18"	"8"	"K.A."
"v19"	"Variable Label"	"Bundesland"
"v19"	"1"	"Wien"
"v19"	"2"	"Burgenland"
"v19"	"3"	"Niederösterreich"
"v19"	"4"	"Oberösterreich"
"v19"	"5"	"Salzburg"
"v19"	"6"	"Tirol"
"v19"	"7"	"Vorarlberg"
"v19"	"8"	"Steiermark"
"v19"	"9"	"Kärnten"
"v1a"	"Variable Label"	"Erhöhung der inneren Sicherheit"
"v1a"	"1"	"sehr wichtig"
