variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"2.9. -  4.9.1991"
"datum"	"2"	"5.9. -  8.9.1991"
"datum"	"3"	"9.9. - 11.9.1991"
"datum"	"4"	"12.9. - 15.9.1991"
"datum"	"6"	"16.9. - 18.9.1991"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v03"	"Variable Label"	"Wann darf kleiner Staat auf Hilfe rechnen?"
"v03"	"1"	"Wenn er neutral ist"
"v03"	"2"	"Bei Mitgliedschaft in militärischem Bündnis"
"v03"	"3"	"Weiß nicht"
"v04"	"Variable Label"	"Großmächte helfen kleinen Staaten nur aus Eigennutz"
"v04"	"1"	"Stimme zu"
"v04"	"2"	"Stimme nicht zu"
"v04"	"3"	"Weiß nicht"
"v06"	"Variable Label"	"Anerkennung Sloweniens und Kroatiens mit Neutralität konform"
"v06"	"1"	"Ja"
"v06"	"2"	"Nein"
"v06"	"3"	"Weiß nicht"
"v08"	"Variable Label"	"Handlungsalternativen Österreichs in bezug auf Neutralität"
"v08"	"1"	"An Neutralität festhalten"
"v08"	"2"	"Neutralität abändern"
"v08"	"3"	"Auf Neutralität verzichten"
"v08"	"4"	"Weiß nicht"
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Beruf"
"v11"	"Variable Label"	"Andere"
"v11"	"1"	"Hilfsarbeiter"
"v11"	"2"	"Facharbeiter"
"v11"	"3"	"Leitende Ang./Beamte"
"v11"	"4"	"Angestellte"
"v11"	"5"	"Beamte"
"v11"	"6"	"Rentner/Pensionsten"
"v11"	"7"	"Hausfrauen"
"v11"	"8"	"Selbständige"
"v11"	"9"	"Landwirte"
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Burgenland"
"v12"	"3"	"Niederösterreich"
"v12"	"4"	"Oberösterreich"
"v12"	"5"	"Salzburg"
"v12"	"6"	"Tirol"
"v12"	"7"	"Vorarlberg"
"v12"	"8"	"Steiermark"
"v12"	"9"	"Kärnten"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"Unter 20 Jahren"
"v13"	"2"	"20 bis 25 Jahre"
"v13"	"3"	"26 bis 35 Jahre"
"v13"	"4"	"36 bis 50 Jahre"
"v13"	"5"	"51 bis 65 Jahre"
"v13"	"6"	"Über 65 Jahre"
"v14"	"Variable Label"	"Bildung"
"v14"	"1"	"Volksschule"
"v14"	"2"	"Hauptschule"
"v14"	"3"	"Berufs-/Handelsschule"
"v14"	"4"	"Matura"
"v14"	"5"	"Abg. Hochschule"
"v15"	"Variable Label"	"Parteipräferenz"
"v15"	"1"	"FPÖ"
"v15"	"2"	"KPÖ"
