variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"Identifikationsnummer"
"gew_re"	"Variable Label"	"Gewichtung der Stichprobe"
"x03"	"Variable Label"	"Klasse"
"x04"	"Variable Label"	"Befragung und Corona"
"x04"	"1,00"	"Befragung vor dem 14.03."
"x04"	"2,00"	"Befragung ab dem 14.03."
"x05"	"Variable Label"	"Landwirtschaftliche Schulen"
"x05"	"1,00"	"alle anderen"
"x05"	"2,00"	"landwirtschaftliche Schulen"
"x05_detail"	"Variable Label"	"Landwirtschaftliche Schulen detailliert"
"x05_detail"	"1,00"	"Landwirtschaftliche mittlere Schulen"
"x05_detail"	"2,00"	"Landwirtschaftliche höhere Schulen"
"x05_detail"	"3,00"	"keine Landwirtschaftsschule"
"s01"	"Variable Label"	"Wie alt bist du?"
"s01"	"13,00"	"13"
"s01"	"14,00"	"14"
"s01"	"15,00"	"15"
"s01"	"16,00"	"16"
"s01"	"17,00"	"17"
"s01"	"18,00"	"18 oder älter"
"s02"	"Variable Label"	"Geschlecht"
"s02"	"1"	"Mädchen"
"s02"	"2"	"Buben"
"s02"	"3"	"divers"
"s02_2"	"Variable Label"	"Geschlecht 2"
"s02_2"	"1,00"	"Mädchen"
"s02_2"	"2,00"	"Buben"
"s03"	"Variable Label"	"Ich besuche ein/e ..."
"s03"	"1,00"	"Neue Mittelschule"
"s03"	"2,00"	"Polytechnische Schule"
"s03"	"3,00"	"Berufsschule"
"s03"	"4,00"	"Gymnasium Unterstufe"
"s03"	"5,00"	"Gymnasium Oberstufe"
"s03"	"6,00"	"Berufsbildende Mittlere Schule ohne Matura (z.B. HASCH)"
"s03"	"7,00"	"Berufsbildende Höhere Schule mit Matura (z.B. HAK, HTL)"
"s03"	"8,00"	"andere Schule"
"s03_b"	"Variable Label"	"Schulart detailliert"
"s03_b"	"1,00"	"MS"
"s03_b"	"2,00"	"PS"
"s03_b"	"3,00"	"BS"
"s03_b"	"4,00"	"BMS"
"s03_b"	"5,00"	"AHS"
"s03_b"	"6,00"	"BHS"
"s03_u"	"Variable Label"	"Sekundarstufe 1"
"s03_u"	"1,00"	"MS"
"s03_u"	"2,00"	"AHS Unterstufe"
"s03_o"	"Variable Label"	"Sekundarstufe 2"
"s03_o"	"1,00"	"PS"
"s03_o"	"2,00"	"BS"
"s03_o"	"3,00"	"BMS"
"s03_o"	"4,00"	"AHS Oberstufe"
"s03_o"	"5,00"	"BHS"
"s03_k"	"Variable Label"	"Schulart"
"s03_k"	"1,00"	"Pflichtschule"
"s03_k"	"2,00"	"Schule ohne Matura"
"s03_k"	"3,00"	"Schule mit Matura"
"s30_7"	"Variable Label"	"Bildungshintergrund - höherer Abschluss der Eltern (falls bekannt) mit weiß nicht ISCED"
"s30_7"	",00"	"weiß ich nicht"
"s30_7"	"1,00"	"kein Schulabschluss"
"s30_7"	"2,00"	"Pflichtschulabschluss (z.B.: Hauptschule, polytechnischer Lehrgang)"
"s30_7"	"3,00"	"Ausbildung ohne Matura (z.B.: Lehre, Fachschule)"
"s30_7"	"4,00"	"Ausbildung mit allgemeinbildender Matura (z.B.: Gymnasium)"
"s30_7"	"5,00"	"Ausbildung mit berufsbildender Matura (z.B.: HAK, HTL, HLW)"
"s30_7"	"6,00"	"Fachhochschule, PÄDAK/Pädagogische Hochschule oder Universität"
"s30"	"Variable Label"	"Bildungsabschluss der Eltern"
"s30"	"1,00"	"max. Pflichtschule"
"s30"	"2,00"	"Ausbildung ohne Matura"
"s30"	"3,00"	"Ausbildung mit Matura"
"s30"	"4,00"	"Hochschule/Universität"
"s31_10"	"Variable Label"	"Sozioökonomischer Hintergrund"
"s31"	"Variable Label"	"Sozioökonomischer Hintergrund"
"s31"	"1,00"	"niedrig"
"s31"	"2,00"	"mittel"
"s31"	"3,00"	"hoch"
"a01"	"Variable Label"	"[shoppen, tolle Sachen kaufen] Was machst du in deiner Freizeit?"
"a01"	"1"	"sehr oft"
"a01"	"2"	"oft"
"a01"	"3"	"selten"
"a01"	"4"	"nie"
"a02"	"Variable Label"	"[Sport in einem Verein machen (z.B. Volleyball-, Fußball-, Schiverein)] Was machst du in deiner Freizeit?"
"a02"	"1"	"sehr oft"
"a02"	"2"	"oft"
"a02"	"3"	"selten"
"a02"	"4"	"nie"
"a03"	"Variable Label"	"[ins Kino, Theater oder in ein Konzert gehen] Was machst du in deiner Freizeit?"
"a03"	"1"	"sehr oft"
"a03"	"2"	"oft"
"a03"	"3"	"selten"
"a03"	"4"	"nie"
"a04"	"Variable Label"	"[basteln, werken, etwas Kreatives machen] Was machst du in deiner Freizeit?"
"a04"	"1"	"sehr oft"
"a04"	"2"	"oft"
"a04"	"3"	"selten"
"a04"	"4"	"nie"
"a05"	"Variable Label"	"[in einem Verein, Projekt oder einer Initiative mitmachen] Was machst du in deiner Freizeit?"
"a05"	"1"	"sehr oft"
"a05"	"2"	"oft"
"a05"	"3"	"selten"
"a05"	"4"	"nie"
"a06"	"Variable Label"	"[im Internet Kontakt zu Freund/innen halten, soziale Netzwerke nutzen] Was machst du in deiner Freizeit?"
"a06"	"1"	"sehr oft"
"a06"	"2"	"oft"
"a06"	"3"	"selten"
"a06"	"4"	"nie"
"a07"	"Variable Label"	"[das Internet zur Unterhaltung nutzen (z.B. Filme schauen, Musik downloaden, Spiele nutzen)] Was machst du in deiner Freizeit?"
"a07"	"1"	"sehr oft"
"a07"	"2"	"oft"
"a07"	"3"	"selten"
"a07"	"4"	"nie"
"a08"	"Variable Label"	"[auf private Partys gehen] Was machst du in deiner Freizeit?"
"a08"	"1"	"sehr oft"
"a08"	"2"	"oft"
"a08"	"3"	"selten"
"a08"	"4"	"nie"
"a09"	"Variable Label"	"[auf Straßen, Plätzen \"herumsitzen\"] Was machst du in deiner Freizeit?"
"a09"	"1"	"sehr oft"
"a09"	"2"	"oft"
"a09"	"3"	"selten"
"a09"	"4"	"nie"
"a10"	"Variable Label"	"[mit Computer, Playstation, Wii, Smartphone spielen] Was machst du in deiner Freizeit?"
"a10"	"1"	"sehr oft"
"a10"	"2"	"oft"
"a10"	"3"	"selten"
"a10"	"4"	"nie"
"a11"	"Variable Label"	"[bei mir zu Hause \"rumhängen\"] Was machst du in deiner Freizeit?"
"a11"	"1"	"sehr oft"
"a11"	"2"	"oft"
"a11"	"3"	"selten"
"a11"	"4"	"nie"
"a12"	"Variable Label"	"[Tageszeitung, Zeitschriften oder Magazine lesen] Was machst du in deiner Freizeit?"
"a12"	"1"	"sehr oft"
"a12"	"2"	"oft"
"a12"	"3"	"selten"
"a12"	"4"	"nie"
"a13"	"Variable Label"	"[Bücher lesen] Was machst du in deiner Freizeit?"
"a13"	"1"	"sehr oft"
"a13"	"2"	"oft"
"a13"	"3"	"selten"
"a13"	"4"	"nie"
"a14"	"Variable Label"	"[Musik bewusst hören] Was machst du in deiner Freizeit?"
"a14"	"1"	"sehr oft"
"a14"	"2"	"oft"
"a14"	"3"	"selten"
"a14"	"4"	"nie"
"a15"	"Variable Label"	"[mich mit Tieren beschäftigen (z.B. Hund, Pferd, Katze)] Was machst du in deiner Freizeit?"
"a15"	"1"	"sehr oft"
"a15"	"2"	"oft"
"a15"	"3"	"selten"
"a15"	"4"	"nie"
"a16"	"Variable Label"	"[in Jugendtreffs/-zentren gehen] Was machst du in deiner Freizeit?"
"a16"	"1"	"sehr oft"
"a16"	"2"	"oft"
"a16"	"3"	"selten"
"a16"	"4"	"nie"
"a17"	"Variable Label"	"[in Bars, Cafes, In-Lokale und Discos gehen] Was machst du in deiner Freizeit?"
"a17"	"1"	"sehr oft"
"a17"	"2"	"oft"
"a17"	"3"	"selten"
"a17"	"4"	"nie"
"a18"	"Variable Label"	"[Sport machen (z.B. Fitnessstudio, Joggen, Radfahren)] Was machst du in deiner Freizeit?"
"a18"	"1"	"sehr oft"
"a18"	"2"	"oft"
"a18"	"3"	"selten"
"a18"	"4"	"nie"
"a19"	"Variable Label"	"[Fernsehen, Videos/DVDs anschauen] Was machst du in deiner Freizeit?"
"a19"	"1"	"sehr oft"
"a19"	"2"	"oft"
"a19"	"3"	"selten"
"a19"	"4"	"nie"
"a20"	"Variable Label"	"[tanzen gehen] Was machst du in deiner Freizeit?"
"a20"	"1"	"sehr oft"
"a20"	"2"	"oft"
