variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"asbhh"	"Variable Label"	"Schlüsselbegriff Haushalt"
"apkz"	"Variable Label"	"Personenkennzahl"
"asbper"	"Variable Label"	"Schlüsselbegriff Person"
"aprox"	"Variable Label"	"Auskunftstyp"
"aprox"	"-3"	"Filter"
"aprox"	"1"	"Selbstauskunft"
"aprox"	"3"	"Termin (unvollständig)"
"aprox"	"199"	"Fremdauskunft unbekannt"
"aprox"	"200"	"Fremdauskunft durch haushaltsfremde Person"
"aprox"	"201"	"Fremdauskunft Person 1"
"aprox"	"202"	"Fremdauskunft Person 2"
"aprox"	"203"	"Fremdauskunft Person 3"
"aprox"	"204"	"Fremdauskunft Person 4"
"aprox"	"205"	"Fremdauskunft Person 5"
"aprox"	"206"	"Fremdauskunft Person 6"
"aprox"	"207"	"Fremdauskunft Person 7"
"aprox"	"208"	"Fremdauskunft Person 8"
"aprox"	"209"	"Fremdauskunft Person 9"
"aprox"	"210"	"Fremdauskunft Person 10"
"aprox"	"211"	"Fremdauskunft Person 11"
"aprox"	"212"	"Fremdauskunft Person 12"
"aprox"	"213"	"Fremdauskunft Person 13"
"aprox"	"214"	"Fremdauskunft Person 14"
"aprox"	"215"	"Fremdauskunft Person 15"
"aprox"	"216"	"Fremdauskunft Person 16"
"aprox"	"217"	"Fremdauskunft Person 17"
"aprox"	"218"	"Fremdauskunft Person 18"
"aprox"	"219"	"Fremdauskunft Person 19"
"arot"	"Variable Label"	"Rotationsnummer"
"arefwo"	"Variable Label"	"Sonntag der Referenzwoche"
"arefwo"	"01.01.9993"	"Filter"
"arefwon"	"Variable Label"	"Referenzwoche numerisch"
"amonat"	"Variable Label"	"Referenzmonat"
"aquartal"	"Variable Label"	"Referenzquartal"
"ajahr"	"Variable Label"	"Referenzjahr"
"xwieoft"	"Variable Label"	"Wievieltes Mal in Stichprobe"
"xwieoft"	"-3"	"Filter"
"atatmeth21"	"Variable Label"	"Befragungsmethode"
"atatmeth21"	"-3"	"Filter"
"atatmeth21"	"1"	"CATI"
"atatmeth21"	"2"	"CAPI"
"atatmeth21"	"3"	"CAWI"
"atatmeth21"	"4"	"INTERN"
"atatmeth21"	"5"	"SA"
"atatmeth21"	"6"	"NONE"
"xurb"	"Variable Label"	"Eurostat-Urbanisierungsgrad"
"xurb"	"1"	"hohe Bevölkerungsdichte"
"xurb"	"2"	"mittlere Bevölkerungsdichte"
"xurb"	"3"	"niedrige Bevölkerungsdichte"
"xnuts1"	"Variable Label"	"NUTS 1 Gebiete"
"xnuts1"	"1"	"Ostösterreich"
"xnuts1"	"2"	"Südösterreich"
"xnuts1"	"3"	"Westösterreich"
"xnuts2"	"Variable Label"	"NUTS 2 Gebiete (Bundesländer)"
"xnuts2"	"11"	"Burgenland"
"xnuts2"	"12"	"Niederösterreich"
"xnuts2"	"13"	"Wien"
"xnuts2"	"21"	"Kärnten"
"xnuts2"	"22"	"Steiermark"
"xnuts2"	"31"	"Oberösterreich"
"xnuts2"	"32"	"Salzburg"
"xnuts2"	"33"	"Tirol"
"xnuts2"	"34"	"Vorarlberg"
"xeinw"	"Variable Label"	"Gemeindegrößenklasse aktuell (letzter Stand Jahresbeginn zur Stichprobenziehung)"
"xeinw"	"1"	"bis 500"
"xeinw"	"2"	"501-1000"
"xeinw"	"3"	"1001-1500"
"xeinw"	"4"	"1501-2000"
"xeinw"	"5"	"2001-2500"
"xeinw"	"6"	"2501-3000"
"xeinw"	"7"	"3001-5000"
"xeinw"	"8"	"5001-10000"
"xeinw"	"9"	"10001-20000"
"xeinw"	"10"	"20001-30000"
"xeinw"	"11"	"30001-50000"
"xeinw"	"12"	"50001-100000"
"xeinw"	"13"	"100001-200000"
"xeinw"	"14"	"200001-900000"
"xeinw"	"15"	"Wien"
"xwhh"	"Variable Label"	"WG im Haushalt lt. Eurostat-Kriterien"
"xwhh"	"1"	"WG im Haushalt lt. Eurostat-Kriterien"
"xwhh"	"2"	"Normaler Haushalt"
"wanzwo"	"Variable Label"	"Anzahl der Wohnungen"
"wanzwo"	"-3"	"Filter"
"wanzwo"	"1"	"1 Wohnung"
"wanzwo"	"2"	"2 Wohnungen"
"wanzwo"	"3"	"mehr als 2 Wohnungen"
"wartgeb"	"Variable Label"	"Art des Wohngebäudes"
"wartgeb"	"-3"	"Filter"
"wartgeb"	"1"	"Einfamilienhaus"
"wartgeb"	"2"	"Zweifamilienhaus"
"wartgeb"	"3"	"Gebäude mit mehr als zwei Wohnungen"
"wartgeb"	"4"	"Gebäude mit einer Wohnung"
"wrechtk"	"Variable Label"	"Rechtsverhältnis kurz"
"wrechtk"	"-3"	"Filter"
"wrechtk"	"1"	"zur Miete"
"wrechtk"	"2"	"im Eigentum"
"wrechtk"	"3"	"mietfrei oder unentgeltlich"
"wrechtl"	"Variable Label"	"Rechtsverhältnis lang"
"wrechtl"	"-3"	"Filter"
"wrechtl"	"1"	"Hauseigentum"
"wrechtl"	"2"	"Wohnungseigentum"
"wrechtl"	"3"	"Hauptmiete"
"wrechtl"	"4"	"Dienstwohnung"
"wrechtl"	"5"	"Untermiete"
"wrechtl"	"6"	"Mietfrei (Haushalt zahlt BK)"
"wrechtl"	"7"	"Unentgeltlich (Haushalt zahlt keine BK)"
"wrechthm"	"Variable Label"	"Art des Hauptmietverhältnisses"
"wrechthm"	"-3"	"Filter"
"wrechthm"	"1"	"Gemeindewohnung"
"wrechthm"	"2"	"Genossenschaftswohnung"
"wrechthm"	"3"	"private Hauptmiete"
"wrechthm"	"4"	"Dienstwohnung"
"wvertr"	"Variable Label"	"Beginn Mietverhältnis laut Mietvertrag"
"wvertr"	"JAN 9993"	"Filter"
"wfrist"	"Variable Label"	"Mietvertrag befristet oder unbefristet"
"wfrist"	"-3"	"Filter"
"wfrist"	"1"	"befristet"
"wfrist"	"2"	"unbefristet"
"wfristj"	"Variable Label"	"Dauer der Befristung in Jahren"
"wfristj"	"-3,00"	"Filter"
"wverl"	"Variable Label"	"Mietvertragsverlängerung bzw. Wechsel von befristet auf unbefristet"
"wverl"	"-3"	"Filter"
"wverl"	"1"	"Ja"
"wverl"	"2"	"Nein"
"wm2"	"Variable Label"	"Wohnfläche in Quadratmeter"
"wm2"	"-3"	"Filter"
"wanzrok"	"Variable Label"	"Anzahl der Wohnräume ohne Küche"
"wanzrok"	"-3"	"Filter"
"wkueche"	"Variable Label"	"Art der Küche"
"wkueche"	"-3"	"Filter"
"wkueche"	"1"	"offene Wohnküche"
"wkueche"	"2"	"Küche als eigener Raum mit Essbereich"
"wkueche"	"3"	"Küche als eigener Raum ohne Essbereich"
"wwc"	"Variable Label"	"WC vorhanden"
"wwc"	"-3"	"Filter"
"wwc"	"1"	"Ja"
"wwc"	"2"	"Nein"
"wbad"	"Variable Label"	"Dusche oder Badewanne vorhanden"
"wbad"	"-3"	"Filter"
"wbad"	"1"	"Ja"
"wbad"	"2"	"Nein"
"wheiz"	"Variable Label"	"Heizung vorhanden"
"wheiz"	"-3"	"Filter"
"wheiz"	"1"	"Ja"
"wheiz"	"2"	"Nein"
"wheizart"	"Variable Label"	"Heizungsart Erstheizung"
"wheizart"	"-3"	"Filter"
"wheizart"	"1"	"Fernheizung/Fernwärme/Nahwärme"
"wheizart"	"2"	"Hauszentralheizung"
"wheizart"	"3"	"Etagen-/Wohnungszentralheizung"
"wheizart"	"4"	"Einzelraumheizung"
"wheizart"	"5"	"Keine Heizung"
"wheiz2"	"Variable Label"	"Zusatzheizung vorhanden"
"wheiz2"	"-3"	"Filter"
"wheiz2"	"1"	"Ja"
"wheiz2"	"2"	"Nein"
"wheizart2"	"Variable Label"	"Heizungsart Zusatzheizung"
"wheizart2"	"-3"	"Filter"
"wheizart2"	"1"	"Fernheizung/Fernwärme/Nahwärme"
"wheizart2"	"2"	"Hauszentralheizung"
"wheizart2"	"3"	"Etagen-/Wohnungszentralheizung"
"wheizart2"	"4"	"Einzelraumheizung"
"wheizart2"	"5"	"Keine Heizung"
"wheizeinzel"	"Variable Label"	"Keine Heizung: Einzelraumheizung vorhanden"
"wheizeinzel"	"-3"	"Filter"
"wheizeinzel"	"1"	"Ja"
"wheizeinzel"	"2"	"Nein"
"wlift"	"Variable Label"	"Lift vorhanden"
"wlift"	"-3"	"Filter"
