variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"z"	"Variable Label"	"FB-Nr"
"z_bdl"	"Variable Label"	"Erhebungsort Bundesland"
"z_bdl"	"1"	"Oberösterreich"
"z_bdl"	"2"	"Salzburg"
"z_bdl"	"3"	"Steiermark"
"z_bdl"	"4"	"Tirol"
"z_bdl"	"5"	"Wien"
"z_int_date"	"Variable Label"	"Datum des Interviews"
"z5"	"Variable Label"	"Interviewsprache"
"z5"	"1"	"Arabisch"
"z5"	"2"	"Dari"
"z5"	"3"	"Deutsch"
"z5"	"4"	"Englisch"
"z5"	"5"	"Russisch/Tschetschenisch"
"a"	"Variable Label"	"Bildungsland"
"a"	"1"	"Ich kann nicht lesen und schreiben"
"a"	"2"	"Österreich"
"a"	"3"	"Afghanistan"
"a"	"4"	"Irak"
"a"	"5"	"Russische Föderation"
"a"	"6"	"Syrien"
"a"	"7"	"Iran"
"a"	"99"	"anderes Land"
"b1_isced"	"Variable Label"	"Abgeschlossene Ausbildung erstes Bildungsland (ISCED11)"
"b1_isced"	"0"	"kein Schulabschluss"
"b1_isced"	"1"	"Primarbereich"
"b1_isced"	"2"	"Sekundarbereich I"
"b1_isced"	"3"	"Sekundarbereich II"
"b1_isced"	"4"	"Postsekundar, nicht tertiärer Bereich"
"b1_isced"	"5"	"kurzes tertiäres Bildungsprogramm"
"b1_isced"	"6"	"Bachelor"
"b1_isced"	"7"	"Master oder PhD"
"b1_isced"	"8"	"Phd"
"b5"	"Variable Label"	"Inhalt der Ausbildung"
"b5"	"1"	"Technik, Handwerk, Naturwissenschaft"
"b5"	"2"	"Wirtschaft, Verwaltung, Büro"
"b5"	"3"	"Pädagogik, Pflege, Soziales"
"b5"	"4"	"Medizin"
"b5"	"5"	"Humanwissenschaften, Kultur"
"b6"	"Variable Label"	"Jahre Schulbesuch (Kategorien)"
"b6"	"1"	"0 bis 4 Jahre"
"b6"	"2"	"5 bis 8 Jahre"
"b6"	"3"	"8.5 bis 10 Jahre"
"b6"	"4"	"10.5 bis 12 Jahre"
"b6"	"5"	"12.5 bis 14 Jahre"
"b6"	"6"	"14.5 bis 16 Jahre"
"b6"	"7"	"16.5 bis 18 Jahre"
"b6"	"8"	"19 bis 26 Jahre"
"c"	"Variable Label"	"Weitere Ausbildung im Ausland?"
"c"	"0"	"nein"
"c"	"1"	"ja"
"c1_isced"	"Variable Label"	"Weitere Ausbildung Ausland: Klassifikation (ISCED11)"
"c1_isced"	"1"	"Primar- oder Sekundarbereich"
"c1_isced"	"2"	"Postsekundar oder kurzes tertiäres Programm"
"c1_isced"	"3"	"Bachelor, Master, oder PhD"
"c1_isced"	"4"	"Postsekundar, nicht tertiärer Bereich"
"c1_isced"	"5"	"kurzes tertiäres Bildungsprogramm"
"c1_isced"	"6"	"Bachelor"
"c1_isced"	"7"	"Master"
"c1_isced"	"8"	"Phd"
"c2"	"Variable Label"	"Weitere Ausbildung Ausland: Land der Ausbildung"
"c2"	"1"	"Afghanistan"
"c2"	"2"	"Irak"
"c2"	"3"	"Russische Föderation"
"c2"	"4"	"Syrien"
"c2"	"6"	"Iran"
"c2"	"99"	"andere Länder"
"c4_isco3"	"Variable Label"	"Weitere Ausbildung Ausland: Erwerbsfeld (ISCO08)"
"c4_isco3"	"-7"	"Hausfrau"
"c4_isco3"	"-6"	"nicht gearbeitet/arbeitslos"
"c4_isco3"	"-5"	"in Ausbildung"
"c4_isco3"	"11"	"Offiziere in regulären Streitkräften"
"c4_isco3"	"21"	"Unteroffiziere in regulären Streitkräften"
"c4_isco3"	"31"	"Angehörige der regulären Streitkräfte in sonstigen Rängen"
"c4_isco3"	"111"	"Angehörige gesetzgebender Körperschaften und leitende Verwaltungsbedienstete"
"c4_isco3"	"112"	"Geschäftsführerinnen und Geschäftsführer und Vorstände"
"c4_isco3"	"121"	"Führungskräfte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen"
"c4_isco3"	"122"	"Führungskräfte in Vertrieb, Marketing und Entwicklung"
"c4_isco3"	"131"	"Führungskräfte in der Produktion in Land- und Forstwirtschaft und Fischerei"
"c4_isco3"	"132"	"Führungskräfte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik"
"c4_isco3"	"133"	"Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie"
"c4_isco3"	"134"	"Führungskräfte in der Erbringung von speziellen Dienstleistungen"
"c4_isco3"	"141"	"Führungskräfte in Hotels und Restaurants"
"c4_isco3"	"142"	"Führungskräfte in Groß- und Einzelhandel"
"c4_isco3"	"143"	"Führungskräfte in der Erbringung sonstiger Dienstleistungen"
"c4_isco3"	"211"	"Physikerinnen und Physiker, Chemikerinnen und Chemiker, Geologinnen und Geologen und verwandte Berufe"
"c4_isco3"	"212"	"Mathematikerinnen und Mathematiker, Versicherungsmathematikerinnen und Versicherungsmathematiker und Statistikerinnen un"
"c4_isco3"	"213"	"Biowissenschaftlerinnen und Biowissenschaftler"
"c4_isco3"	"214"	"Ingenieurwissenschaftlerinnen und Ingenieurwissenschaftler (ohne Elektrotechnik, Elektronik und Telekommunikation)"
"c4_isco3"	"215"	"Ingenieurinnen und Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik"
"c4_isco3"	"216"	"Architektinnen und Architekten, Raum-, Stadt- und Verkehrsplanerinnen und -planer, Vermessungsingenieurinnen und Vermess"
"c4_isco3"	"221"	"Ärztinnen und Ärzte"
"c4_isco3"	"222"	"Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkräfte"
"c4_isco3"	"223"	"Akademische und vergleichbare Fachkräfte in der traditionellen und komplementären Medizin"
"c4_isco3"	"224"	"Feldscherinnen und Feldscher und vergleichbare paramedizinische Praktikerinnen und Praktiker"
"c4_isco3"	"225"	"Tierärztinnen und Tierärzte"
"c4_isco3"	"226"	"Sonstige akademische und verwandte Gesundheitsberufe"
"c4_isco3"	"231"	"Universitäts- und Hochschullehrerinnen und -lehrer"
"c4_isco3"	"232"	"Lehrkräfte im Bereich Berufsbildung"
"c4_isco3"	"233"	"Lehrkräfte im Sekundarbereich"
"c4_isco3"	"234"	"Lehrkräfte im Primar- und Vorschulbereich"
"c4_isco3"	"235"	"Sonstige Lehrkräfte"
"c4_isco3"	"241"	"Akademische und vergleichbare Fachkräfte im Bereich Finanzen"
"c4_isco3"	"242"	"Akademische und vergleichbare Fachkräfte in der betrieblichen Verwaltung"
"c4_isco3"	"243"	"Akademische und vergleichbare Fachkräfte in Vertrieb, Marketing und Öffentlichkeitsarbeit"
"c4_isco3"	"251"	"Entwicklerinnen und Entwickler und Analytikerinnen und Analytiker von Software und Anwendungen"
"c4_isco3"	"252"	"Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke"
"c4_isco3"	"261"	"Juristinnen und Juristen"
"c4_isco3"	"262"	"Archiv-, Bibliotheks- und Museumswissenschaftlerinnen und -wissenschaftler"
"c4_isco3"	"263"	"Sozialwissenschaftlerinnen und Sozialwissenschaftler, Geistliche und Seelsorgerinnen und Seelsorger"
"c4_isco3"	"264"	"Autorinnen und Autoren, Journalistinnen und Journalisten und Linguistinnen und Linguisten"
"c4_isco3"	"265"	"Bildende und darstellende Künstlerinnen und Künstler"
"c4_isco3"	"311"	"Material- und ingenieurtechnische Fachkräfte"
"c4_isco3"	"312"	"Produktionsleiterinnen und Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau"
"c4_isco3"	"313"	"Technikerinnen und Techniker in der Prozesssteuerung"
"c4_isco3"	"314"	"Biotechnikerinnen und Biotechniker und verwandte technische Berufe"
"c4_isco3"	"315"	"Schiffsführerinnen und Schiffsführer, Flugzeugführerinnen und Flugzeugführer und verwandte Berufe"
"c4_isco3"	"321"	"Medizinische und pharmazeutische Fachberufe"
"c4_isco3"	"322"	"Nicht akademische Krankenpflege- und Geburtshilfefachkräfte"
"c4_isco3"	"323"	"Nicht akademische Fachkräfte in traditioneller und komplementärer Medizin"
"c4_isco3"	"324"	"Veterinärmedizinische Fachkräfte und Assistentinnen und Assistenten"
"c4_isco3"	"325"	"Sonstige Assistenzberufe im Gesundheitswesen"
"c4_isco3"	"331"	"Nicht akademische Fachkräfte im Bereich Finanzen und mathematische Verfahren"
