variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"14.10.-16.10.1994"
"datum"	"2"	"17.10.-19.10.1994"
"datum"	"3"	"20.10.-23.10.1994"
"datum"	"4"	"24.10.-26.10.1994"
"datum"	"5"	"27.10.-31.10.1994"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v02"	"Variable Label"	"Höchsteinkommen Reinigungspersonal"
"v02"	"1"	"10"
"v02"	"2"	"20"
"v02"	"3"	"30"
"v02"	"4"	"40"
"v02"	"5"	"50"
"v02"	"6"	"60"
"v02"	"7"	"70"
"v02"	"8"	"80"
"v02"	"9"	"90"
"v02"	"10"	"100"
"v02"	"11"	"110"
"v02"	"12"	"120"
"v02"	"13"	"130"
"v02"	"14"	"140"
"v02"	"15"	"150"
"v02"	"16"	"160"
"v02"	"17"	"170"
"v02"	"18"	"180"
"v02"	"19"	"K.A."
"v07"	"Variable Label"	"Nutzen der Sozialpartnerschaft"
"v07"	"1"	"vorteilhaft"
"v07"	"2"	"nachteilig"
"v07"	"3"	"weder noch"
"v07"	"4"	"weiß nicht"
"v08"	"Variable Label"	"Sozialpartnerschaft als Ersatz für Regierung"
"v08"	"1"	"Ja"
"v08"	"2"	"Nein"
"v08"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Auflösung der Sozialpartnerschaft"
"v09"	"1"	"auflösen"
"v09"	"2"	"nicht auflösen"
"v09"	"3"	"ist mir egal"
"v09"	"4"	"weiß nicht"
"v10"	"Variable Label"	"Sicherheitsgefühl in Österreich"
"v10"	"1"	"sicher"
"v10"	"2"	"weniger sicher"
"v10"	"3"	"unverändert"
"v10"	"4"	"weiß nicht"
"v11"	"Variable Label"	"Gefahr des Rechtsextremismus"
"v11"	"1"	"große Gefahr"
"v11"	"2"	"geringe Gefahr"
"v11"	"3"	"keine Gefahr"
"v11"	"4"	"weiß nicht"
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"Männlich"
"v12"	"2"	"Weiblich"
"v13"	"Variable Label"	"Beruf"
"v13"	"Variable Label"	"Andere"
"v13"	"1"	"Hilfsarbeiter"
"v13"	"2"	"Facharbeiter"
"v13"	"3"	"Leitende Ang./Beamte"
"v13"	"4"	"Angestellte"
"v13"	"5"	"Beamte"
"v13"	"6"	"Rentner/Pensionist"
"v13"	"7"	"Hausfrauen"
"v13"	"8"	"Selbständige"
"v13"	"9"	"Landwirte"
"v14"	"Variable Label"	"Bundesland"
"v14"	"1"	"Wien"
"v14"	"2"	"Burgenland"
"v14"	"3"	"Niederösterreich"
"v14"	"4"	"Oberösterreich"
"v14"	"5"	"Salzburg"
"v14"	"6"	"Tirol"
"v14"	"7"	"Vorarlberg"
"v14"	"8"	"Steiermark"
"v14"	"9"	"Kärnten"
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"Unter 20 Jahren"
"v15"	"2"	"20 bis 25 Jahre"
"v15"	"3"	"26 bis 35 Jahre"
"v15"	"4"	"36 bis 50 Jahre"
"v15"	"5"	"51 bis 65 Jahre"
"v15"	"6"	"Über 65 Jahre"
"v16"	"Variable Label"	"Bildung"
"v16"	"1"	"Volksschule"
"v16"	"2"	"Hauptschule"
"v16"	"3"	"Berufs- /Handelsschule"
"v16"	"4"	"Matura"
"v16"	"5"	"Abg.Hochschule"
"v17"	"Variable Label"	"Parteipräferenz"
"v17"	"1"	"FPÖ"
"v17"	"2"	"KPÖ"
"v17"	"3"	"ÖVP"
"v17"	"4"	"SPÖ"
"v17"	"5"	"GAL"
"v17"	"6"	"LIF"
"v17"	"7"	"Keine"
"v18a"	"Variable Label"	"Kronen-Zeitung"
"v18a"	"Variable Label"	"Nicht genannt"
"v18a"	"1"	"Genannt"
"v18b"	"Variable Label"	"Täglich Alles"
"v18b"	"Variable Label"	"Nicht genannt"
"v18b"	"1"	"Genannt"
"v18c"	"Variable Label"	"Kurier"
"v18c"	"Variable Label"	"Nicht genannt"
"v18c"	"1"	"Genannt"
"v18d"	"Variable Label"	"Presse"
"v18d"	"Variable Label"	"Nicht genannt"
"v18d"	"1"	"Genannt"
"v18e"	"Variable Label"	"SN"
"v18e"	"Variable Label"	"Nicht genannt"
"v18e"	"1"	"Genannt"
"v18f"	"Variable Label"	"Standard"
"v18f"	"Variable Label"	"Nicht genannt"
"v18f"	"1"	"Genannt"
"v18g"	"Variable Label"	"Kleine Zeitung"
"v18g"	"Variable Label"	"Nicht genannt"
"v18g"	"1"	"Genannt"
"v18h"	"Variable Label"	"Andere"
"v18h"	"Variable Label"	"Nicht genannt"
