variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Zustimmung zu Begriffsdefinition von \"Privatisierung\""
"v1"	"1"	"stimme zu"
"v1"	"2"	"stimme nicht zu"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Schulbildung"
"v10"	"1"	"Hochschule"
"v10"	"2"	"Mittelschule"
"v10"	"3"	"Berufs- oder Handelsschule"
"v10"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v11"	"Variable Label"	"Tätigkeit"
"v11"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v11"	"2"	"Pension"
"v11"	"3"	"Nur im Haushalt tätig"
"v11"	"4"	"Arbeitslos"
"v11"	"5"	"Selbständig"
"v11"	"6"	"Landwirt"
"v11"	"7"	"Hilfsarbeiter"
"v11"	"8"	"Facharbeiter"
"v11"	"9"	"Angestellter"
"v11"	"10"	"Beamter"
"v11"	"11"	"Anderes"
"v12"	"Variable Label"	"Aktuelle Parteipräferenz"
"v12"	"1"	"SPÖ"
"v12"	"2"	"FPÖ"
"v12"	"3"	"ÖVP"
"v12"	"4"	"Grüne"
"v12"	"5"	"LIF"
"v12"	"6"	"KPÖ"
"v12"	"7"	"Keine"
"v12"	"8"	"K.A."
"v13"	"Variable Label"	"Wohnbezirk"
"v2a"	"Variable Label"	"Wiener Verkehrsbetriebe"
"v2a"	"1"	"eher dafür"
"v2a"	"2"	"eher dagegen"
"v2a"	"3"	"W.N./K.A."
"v2b"	"Variable Label"	"Gemeindebauten"
"v2b"	"1"	"eher dafür"
"v2b"	"2"	"eher dagegen"
"v2b"	"3"	"W.N./K.A."
"v2c"	"Variable Label"	"Städtische Kindergärten"
"v2c"	"1"	"eher dafür"
"v2c"	"2"	"eher dagegen"
"v2c"	"3"	"W.N./K.A."
"v2d"	"Variable Label"	"Müllabfuhr"
"v2d"	"1"	"eher dafür"
"v2d"	"2"	"eher dagegen"
"v2d"	"3"	"W.N./K.A."
"v2e"	"Variable Label"	"Straßenreinigung"
"v2e"	"1"	"eher dafür"
"v2e"	"2"	"eher dagegen"
"v2e"	"3"	"W.N./K.A."
"v2f"	"Variable Label"	"Abwasserbeseitigung"
"v2f"	"1"	"eher dafür"
"v2f"	"2"	"eher dagegen"
"v2f"	"3"	"W.N./K.A."
"v2g"	"Variable Label"	"Wasserwerke"
"v2g"	"1"	"eher dafür"
"v2g"	"2"	"eher dagegen"
"v2g"	"3"	"W.N./K.A."
"v2h"	"Variable Label"	"Städtische Bäder"
"v2h"	"1"	"eher dafür"
"v2h"	"2"	"eher dagegen"
"v2h"	"3"	"W.N./K.A."
"v2i"	"Variable Label"	"Städtische Spitäler"
"v2i"	"1"	"eher dafür"
"v2i"	"2"	"eher dagegen"
"v2i"	"3"	"W.N./K.A."
"v2j"	"Variable Label"	"Wiener Gärten"
"v2j"	"1"	"eher dafür"
"v2j"	"2"	"eher dagegen"
"v2j"	"3"	"W.N./K.A."
"v2k"	"Variable Label"	"Museen der Stadt Wien"
"v2k"	"1"	"eher dafür"
"v2k"	"2"	"eher dagegen"
"v2k"	"3"	"W.N./K.A."
"v2l"	"Variable Label"	"Die Theater der Stadt (Theater a .d. Wien, Ronacher, Raimundtheater)"
"v2l"	"1"	"eher dafür"
"v2l"	"2"	"eher dagegen"
"v2l"	"3"	"W.N./K.A."
"v3a"	"Variable Label"	"Wiener Verkehrsbetriebe"
"v3a"	"1"	"ja, sicher"
"v3a"	"2"	"eher schon"
"v3a"	"3"	"eher nicht"
"v3a"	"4"	"sicher nicht"
"v3a"	"5"	"W.N./K.A."
"v3b"	"Variable Label"	"Gemeindebauten"
"v3b"	"1"	"ja, sicher"
"v3b"	"2"	"eher schon"
"v3b"	"3"	"eher nicht"
"v3b"	"4"	"sicher nicht"
"v3b"	"5"	"W.N./K.A."
"v3c"	"Variable Label"	"Städtische Kindergärten"
"v3c"	"1"	"ja, sicher"
"v3c"	"2"	"eher schon"
"v3c"	"3"	"eher nicht"
"v3c"	"4"	"sicher nicht"
