variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"pagnr"	"Variable Label"	"Paginiernummer"
"modus"	"Variable Label"	"Erhebungsmodus"
"modus"	"1"	"ISSP"
"modus"	"2"	"Oversample"
"f1x1"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... fernsehen, DVDs oder Video anschauen?"
"f1x1"	"1"	"täglich"
"f1x1"	"2"	"mehrmals in der Woche"
"f1x1"	"3"	"mehrmals im Monat"
"f1x1"	"4"	"mehrmals im Jahr oder seltener"
"f1x1"	"5"	"nie"
"f1x1"	"8"	"kann ich nicht sagen"
"f1x2"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... ins Kino gehen?"
"f1x2"	"1"	"täglich"
"f1x2"	"2"	"mehrmals in der Woche"
"f1x2"	"3"	"mehrmals im Monat"
"f1x2"	"4"	"mehrmals im Jahr oder seltener"
"f1x2"	"5"	"nie"
"f1x2"	"8"	"kann ich nicht sagen"
"f1x3"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... einen Einkaufsbummel machen?"
"f1x3"	"1"	"täglich"
"f1x3"	"2"	"mehrmals in der Woche"
"f1x3"	"3"	"mehrmals im Monat"
"f1x3"	"4"	"mehrmals im Jahr oder seltener"
"f1x3"	"5"	"nie"
"f1x3"	"8"	"kann ich nicht sagen"
"f1x4"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Bücher lesen?"
"f1x4"	"1"	"täglich"
"f1x4"	"2"	"mehrmals in der Woche"
"f1x4"	"3"	"mehrmals im Monat"
"f1x4"	"4"	"mehrmals im Jahr oder seltener"
"f1x4"	"5"	"nie"
"f1x4"	"8"	"kann ich nicht sagen"
"f1x5"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... kulturelle Veranstaltungen besuchen, z.B. Konzerte, Theater, Ausstellungen?"
"f1x5"	"1"	"täglich"
"f1x5"	"2"	"mehrmals in der Woche"
"f1x5"	"3"	"mehrmals im Monat"
"f1x5"	"4"	"mehrmals im Jahr oder seltener"
"f1x5"	"5"	"nie"
"f1x5"	"8"	"kann ich nicht sagen"
"f1x6"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... sich mit Verwandten treffen?"
"f1x6"	"1"	"täglich"
"f1x6"	"2"	"mehrmals in der Woche"
"f1x6"	"3"	"mehrmals im Monat"
"f1x6"	"4"	"mehrmals im Jahr oder seltener"
"f1x6"	"5"	"nie"
"f1x6"	"8"	"kann ich nicht sagen"
"f1x7"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... sich mit Freunden treffen?"
"f1x7"	"1"	"täglich"
"f1x7"	"2"	"mehrmals in der Woche"
"f1x7"	"3"	"mehrmals im Monat"
"f1x7"	"4"	"mehrmals im Jahr oder seltener"
"f1x7"	"5"	"nie"
"f1x7"	"8"	"kann ich nicht sagen"
"f1x8"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Karten oder Brettspiele spielen?"
"f1x8"	"1"	"täglich"
"f1x8"	"2"	"mehrmals in der Woche"
"f1x8"	"3"	"mehrmals im Monat"
"f1x8"	"4"	"mehrmals im Jahr oder seltener"
"f1x8"	"5"	"nie"
"f1x8"	"8"	"kann ich nicht sagen"
"f1x9"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Musik hören?"
"f1x9"	"1"	"täglich"
"f1x9"	"2"	"mehrmals in der Woche"
"f1x9"	"3"	"mehrmals im Monat"
"f1x9"	"4"	"mehrmals im Jahr oder seltener"
"f1x9"	"5"	"nie"
"f1x9"	"8"	"kann ich nicht sagen"
"f1x10"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... sich körperlich betätigen, z.B. Sport treiben, ins Fitnessstudio gehen, spazieren gehen?"
"f1x10"	"1"	"täglich"
"f1x10"	"2"	"mehrmals in der Woche"
"f1x10"	"3"	"mehrmals im Monat"
"f1x10"	"4"	"mehrmals im Jahr oder seltener"
"f1x10"	"5"	"nie"
"f1x10"	"8"	"kann ich nicht sagen"
"f1x11"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Sportveranstaltungen besuchen?"
"f1x11"	"1"	"täglich"
"f1x11"	"2"	"mehrmals in der Woche"
"f1x11"	"3"	"mehrmals im Monat"
"f1x11"	"4"	"mehrmals im Jahr oder seltener"
"f1x11"	"5"	"nie"
"f1x11"	"8"	"kann ich nicht sagen"
"f1x12"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Handarbeiten oder Werken, wie Nähen, Basteln usw.?"
"f1x12"	"1"	"täglich"
"f1x12"	"2"	"mehrmals in der Woche"
"f1x12"	"3"	"mehrmals im Monat"
"f1x12"	"4"	"mehrmals im Jahr oder seltener"
"f1x12"	"5"	"nie"
"f1x12"	"8"	"kann ich nicht sagen"
"f1x13"	"Variable Label"	"Wie oft machen Sie in Ihrer Freizeit ... Zeit im Internet / am PC verbringen?"
"f1x13"	"1"	"täglich"
"f1x13"	"2"	"mehrmals in der Woche"
"f1x13"	"3"	"mehrmals im Monat"
"f1x13"	"4"	"mehrmals im Jahr oder seltener"
"f1x13"	"5"	"nie"
"f1x13"	"8"	"kann ich nicht sagen"
"f2x1"	"Variable Label"	"In welchem Maß ermöglichen Ihre Freizeitbeschäftigungen ... sich selbst zu verwirklichen?"
"f2x1"	"1"	"in sehr hohem Maß"
"f2x1"	"2"	"in hohem Maß"
"f2x1"	"3"	"bis zu einem gewissen Maß"
"f2x1"	"4"	"in geringem Maß"
"f2x1"	"5"	"überhaupt nicht"
"f2x1"	"8"	"kann ich nicht sagen"
"f2x2"	"Variable Label"	"In welchem Maß ermöglichen Ihre Freizeitbeschäftigungen ... Ihre Beziehung zu anderen Menschen zu festigen?"
"f2x2"	"1"	"in sehr hohem Maß"
"f2x2"	"2"	"in hohem Maß"
"f2x2"	"3"	"bis zu einem gewissen Maß"
"f2x2"	"4"	"in geringem Maß"
"f2x2"	"5"	"überhaupt nicht"
"f2x2"	"8"	"kann ich nicht sagen"
"f3x1"	"Variable Label"	"Wie viel Spaß macht Ihnen ... Bücher lesen"
"f3x1"	"1"	"keinen Spaß"
"f3x1"	"2"	"nicht viel Spaß"
"f3x1"	"3"	"etwas Spaß"
"f3x1"	"4"	"großen Spaß"
"f3x1"	"5"	"sehr großen Spaß"
"f3x2"	"Variable Label"	"Wie viel Spaß macht Ihnen ... sich mit Freunden treffen"
"f3x2"	"1"	"keinen Spaß"
"f3x2"	"2"	"nicht viel Spaß"
"f3x2"	"3"	"etwas Spaß"
"f3x2"	"4"	"großen Spaß"
"f3x2"	"5"	"sehr großen Spaß"
"f3x3"	"Variable Label"	"Wie viel Spaß macht Ihnen ... sich körperlich betätigen, z.B. Sport treiben, ins Fitnessstudio gehen, spazieren gehen"
"f3x3"	"1"	"keinen Spaß"
"f3x3"	"2"	"nicht viel Spaß"
"f3x3"	"3"	"etwas Spaß"
"f3x3"	"4"	"großen Spaß"
"f3x3"	"5"	"sehr großen Spaß"
"f3x4"	"Variable Label"	"Wie viel Spaß macht Ihnen ... Fernsehen, DVDs oder Videos anschauen"
"f3x4"	"1"	"keinen Spaß"
"f3x4"	"2"	"nicht viel Spaß"
"f3x4"	"3"	"etwas Spaß"
"f3x4"	"4"	"großen Spaß"
"f3x4"	"5"	"sehr großen Spaß"
"f4x1"	"Variable Label"	"Freizeit auf unterschiedliche Weise beschäftigen ... nützliche Kontakte zu knüpfen"
"f4x1"	"1"	"sehr oft"
"f4x1"	"2"	"oft"
"f4x1"	"3"	"manchmal"
"f4x1"	"4"	"selten"
"f4x1"	"5"	"nie"
"f4x1"	"8"	"kann ich nicht sagen"
"f4x2"	"Variable Label"	"Freizeit auf unterschiedliche Weise beschäftigen ... sich zu entspannen und zu erholen"
"f4x2"	"1"	"sehr oft"
"f4x2"	"2"	"oft"
"f4x2"	"3"	"manchmal"
"f4x2"	"4"	"selten"
"f4x2"	"5"	"nie"
"f4x2"	"8"	"kann ich nicht sagen"
"f4x3"	"Variable Label"	"Freizeit auf unterschiedliche Weise beschäftigen ... Kenntnisse zu erwerben oder weiterzuentwickeln"
"f4x3"	"1"	"sehr oft"
"f4x3"	"2"	"oft"
"f4x3"	"3"	"manchmal"
"f4x3"	"4"	"selten"
