variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"uno"	"Variable Label"	"UNO"
"uno"	"Variable Label"	"ohne Zusatz: \"im Auftrag der UNO\""
"uno"	"1"	"Zusatz: \"im Auftrag der UNO\""
"v1"	"Variable Label"	"Soll es in Zukunft in der EU 25 verschiedene Armeen, eine gemeinsame europäische Armee oder beides geben?"
"v1"	"1"	"Es sollte 25 verschiedene Armeen geben"
"v1"	"2"	"Es sollte eine gemeinsame europäische Armee geben"
"v1"	"3"	"Es sollte beides geben"
"v1"	"4"	"W.N./K.A."
"v10a"	"Variable Label"	"Wenn ein Mitglied der EU bedroht wird"
"v10a"	"1"	"Ja"
"v10a"	"2"	"Nein"
"v10a"	"3"	"W.N./K.A."
"v10b"	"Variable Label"	"Wenn es außerhalb der EU in Europa - wie im Fall des früheren Jugoslawien - zu Kriegshandlungen kommt"
"v10b"	"1"	"Ja"
"v10b"	"2"	"Nein"
"v10b"	"3"	"W.N./K.A."
"v10c"	"Variable Label"	"Wenn es in anderen Erdteilen zu Kriegshandlungen kommt"
"v10c"	"1"	"Ja"
"v10c"	"2"	"Nein"
"v10c"	"3"	"W.N./K.A."
"v10d"	"Variable Label"	"Wenn ein Staat Massenvernichtungswaffen entwickelt und produziert"
"v10d"	"1"	"Ja"
"v10d"	"2"	"Nein"
"v10d"	"3"	"W.N./K.A."
"v10e"	"Variable Label"	"Wenn es darum geht, Rohstoffquellen und Transportwege für die EU abzusichern"
"v10e"	"1"	"Ja"
"v10e"	"2"	"Nein"
"v10e"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Sollte es für Mitgliedstaaten der EU eine immmerwährende militärische Beistandspflicht geben?"
"v11"	"1"	"Es sollte eine immerwährende Beistandspflicht geben"
"v11"	"2"	"Jeder Mitgliedstaat sollte selbst von Fall zu Fall entschei"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Ist Österreich durch internationalen Terrorismus nicht gefährdet?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Wird die EU Österreich beistehen, wenn wir selbst zu keinem Beistand bereit sind?"
"v13"	"1"	"Ja"
"v13"	"2"	"Nein"
"v13"	"3"	"W.N./K.A."
