variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Verhalten der Unternehmer"
"v01"	"1"	"zu weit"
"v01"	"2"	"angemessen"
"v01"	"3"	"nicht weit genug"
"v01"	"4"	"W.N./K.A."
"v02"	"Variable Label"	"Verhalten der Gewerkschaft"
"v02"	"1"	"zu weit"
"v02"	"2"	"angemessen"
"v02"	"3"	"nicht weit genug"
"v02"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Einkommenssituation der Arbeitnehmer"
"v04"	"1"	"verbessert"
"v04"	"2"	"verschlechtert"
"v04"	"3"	"gleich bleiben"
"v04"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Einkommenssituation der Pensionisten"
"v05"	"1"	"verbessert"
"v05"	"2"	"verschlechtert"
"v05"	"3"	"gleich bleiben"
"v05"	"4"	"W.N./K.A."
"v06"	"Variable Label"	"Einhalten des Versprechens"
"v06"	"1"	"sicher"
"v06"	"2"	"eher schon"
"v06"	"3"	"eher nicht"
"v06"	"4"	"sicher nicht"
"v06"	"5"	"W.N./K.A."
"v07"	"Variable Label"	"Haltung gegenüber EG-Beitritt"
"v07"	"1"	"entschieden dafür"
"v07"	"2"	"eher dafür"
"v07"	"3"	"eher dagegen"
"v07"	"4"	"entschieden dagegen"
"v07"	"5"	"bin noch unentschieden"
"v07"	"6"	"W.N./K.A."
"v09"	"Variable Label"	"Verfahrensweise mit Neutralität"
"v09"	"1"	"Neutralität aufgeben"
"v09"	"2"	"sie in den von der EG nicht akzeptierten Punkten abändern"
"v09"	"3"	"auf EG-Beitritt verzichten"
"v09"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"16 bis 24 Jahre"
"v11"	"2"	"25 bis 39 Jahre"
"v11"	"3"	"40 bis 59 Jahre"
"v11"	"4"	"Ab 60 Jahre"
"v12"	"Variable Label"	"Bildung"
"v12"	"1"	"Matura/Universität"
"v12"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v12"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v13"	"Variable Label"	"Tätigkeit"
"v13"	"1"	"In Ausbildung"
"v13"	"2"	"Nicht berufstätig"
"v13"	"3"	"Pension"
"v13"	"4"	"Selbständig/Landwirte"
"v13"	"5"	"Arbeiter"
"v13"	"6"	"Angestellte"
"v14"	"Variable Label"	"Parteipräferenz"
"v14"	"1"	"SPÖ"
"v14"	"2"	"ÖVP"
"v14"	"3"	"FPÖ"
"v14"	"4"	"KPÖ"
"v14"	"5"	"GAL"
"v14"	"6"	"LIF"
"v14"	"7"	"Keine"
"v14"	"8"	"K.A."
"v15"	"Variable Label"	"Bundesland"
"v15"	"1"	"Wien"
"v15"	"2"	"Niederösterreich"
"v15"	"3"	"Burgenland"
"v15"	"4"	"Steiermark"
"v15"	"5"	"Kärnten"
"v15"	"6"	"Oberösterreich"
"v15"	"7"	"Salzburg"
"v15"	"8"	"Tirol"
"v15"	"9"	"Vorarlberg"
"v3a"	"Variable Label"	"Steuerreform"
"v3a"	"1"	"große Rolle"
"v3a"	"2"	"geringe Rolle"
"v3a"	"3"	"so gut wie keine Rolle"
"v3a"	"4"	"W.N./K.A."
"v3b"	"Variable Label"	"Sozialpartner wollten Handeln demonstrieren"
"v3b"	"1"	"große Rolle"
"v3b"	"2"	"geringe Rolle"
"v3b"	"3"	"so gut wie keine Rolle"
"v3b"	"4"	"W.N./K.A."
"v3c"	"Variable Label"	"Wirtschaftliche Lage"
"v3c"	"1"	"große Rolle"
"v3c"	"2"	"geringe Rolle"
"v3c"	"3"	"so gut wie keine Rolle"
"v3c"	"4"	"W.N./K.A."
"v8a"	"Variable Label"	"Kein militärisches Bündnis"
"v8a"	"1"	"Teile ich"
"v8a"	"2"	"Würde mich lieber nicht festlegen"
"v8a"	"3"	"W.N./K.A."
"v8b"	"Variable Label"	"Keine Stationierung fremder Truppen"
"v8b"	"1"	"Teile ich"
"v8b"	"2"	"Würde mich lieber nicht festlegen"
"v8b"	"3"	"W.N./K.A."
"v8c"	"Variable Label"	"Keine Teilnahme an kriegerischen Auseinandersetzungen"
"v8c"	"1"	"Teile ich"
"v8c"	"2"	"Würde mich lieber nicht festlegen"
"v8c"	"3"	"W.N./K.A."
"version"	"Variable Label"	"AUSSDA archive version"
