variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10"	"Variable Label"	"Wären Sie grundsätzlich bereit, bei der Nationalratswahl 2006 eine neue Partei zu wählen, die auch zum ersten Mal bei Nationalratswahlen antritt?"
"v10"	"1"	"Ja"
"v10"	"2"	"Nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Soll die vierjährige Gesetzgebungsperiode in Österreich auf 5 Jahre verlängert werden?"
"v11"	"1"	"Ja, ich bin dafür"
"v11"	"2"	"Nein, ich bin dagegen"
"v11"	"3"	"Ist mir egal"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Wie wichtig ist, Ihrer Meinung nach, ganz allgemein die EU für Österreich?"
"v12"	"1"	"sehr wichtig"
"v12"	"2"	"wichtig"
"v12"	"3"	"weniger wichtig"
"v12"	"4"	"unwichtig"
"v12"	"5"	"W.N./K.A."
"v13"	"Variable Label"	"Mit dem Beginn des Jahres 2006 hat Österreich für 6 Monate die EU-Präsidentschaft übernommen. Haben Sie davon sehr viel, viel, einiges, wenig oder gar nichts gehört und gelesen?"
"v13"	"1"	"Sehr viel"
"v13"	"2"	"Viel"
"v13"	"3"	"Einiges"
"v13"	"4"	"Wenig"
"v13"	"5"	"Gar nichts"
"v13"	"6"	"W.N./K.A."
"v14"	"Variable Label"	"Spielt es für Ihre Wahlentscheidung eine Rolle, welche Stellung die jeweilige Partei zur EU hat?"
"v14"	"1"	"Positive Einstellung zur EU macht die Partei eher für mich w"
"v14"	"2"	"Negative (ablehnende) Einstellung zur EU macht die Partei eh"
"v14"	"3"	"Die Einstellung der Partei zur EU ist für meine Wahlentschei"
"v14"	"4"	"W.N./K.A."
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"männlich"
"v15"	"2"	"weiblich"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"bis 25 Jahre"
"v16"	"2"	"26-35 Jahre"
"v16"	"3"	"36-50 Jahre"
"v16"	"4"	"51-65 Jahre"
"v16"	"5"	"ab 66 Jahre"
"v17"	"Variable Label"	"Schulbildung"
"v17"	"1"	"Hochschule"
"v17"	"2"	"Mittelschule"
"v17"	"3"	"Berufs- oder Handelsschule"
