variable	value	Label
"CLASS"	"Variable Label"	"Klassifikation"
"CLASS"	"1"	"Keine Bezug zur empirischen Sozialforschung (Lehre / Forschung)"
"CLASS"	"2"	"Lehren im Bereich der empirischen Sozialforschung"
"CLASS"	"3"	"Forschen im Bereich der empirischen Sozialforschung"
"CLASS"	"4"	"Forschen und lehren im Bereich der empirischen Sozialforschung"
"COUN"	"Variable Label"	"Bundesland"
"COUN"	"1"	"Wien"
"COUN"	"2"	"Steiermark"
"COUN"	"3"	"Salzburg"
"COUN"	"4"	"Tirol"
"COUN"	"5"	"Kärnten"
"COUN"	"6"	"Oberösterreich"
"COUN"	"7"	"Niederösterreich"
"COUN"	"8"	"Vorarlberg"
"COUN"	"99"	"k.A."
"DISC"	"Variable Label"	"Fach - ÖFOS 2012"
"DISC"	"502"	"Wirtschaftswissenschaften"
"DISC"	"503"	"Erziehungswissenschaften"
"DISC"	"504"	"Soziologie"
"DISC"	"506"	"Politikwissenschaften"
"DISC"	"508"	"Medien- und Kommunikationswissenschaften"
"DISC"	"509"	"Andere Sozialwissenschaften (erweitert um Fälle der 501 / 505 / 507)"
"doi"	"Variable Label"	"digital object identifier"
"ID"	"Variable Label"	"Eintragsnummer"
"POSI"	"Variable Label"	"Position"
"POSI"	"1"	"Leitungs- und Führungspositionen (z.B.: Univ.- bzw. ordentliche ProfessorInnen / LeiterInnen Organisationseinheit)"
"POSI"	"2"	"Etabliertes wissenschaftliches Personal; Mittelbau (z.B.:  Ass/Assoc.-Prof., Post-Doc., Senior Lect./Scien.)"
"POSI"	"3"	"Wissenschaftlicher Nachwuchs - (z.B.: Wissenschaftliche MitarbeiterInnen, ProjektmitarbeiterInnen, Pre-Doc.)"
"POSI"	"97"	"Nichtakademische Führungskräfte (z.B.: GeschäftsführerInnen etc.)"
"POSI"	"98"	"Nicht klassifizierbar"
"R_NUM"	"Variable Label"	"Seit 2016: Anzahl an Forschungsprojekten, an denen die Person beteiligt ist?"
"R_PRO"	"Variable Label"	"Seit 2016: Beteiligung an Forschungsprojekten?"
"R_PRO"	"0"	"Nein"
"R_PRO"	"1"	"Ja"
"SEX"	"Variable Label"	"Geschlecht der erfassten Person"
"SEX"	"0"	"Männlich"
"SEX"	"1"	"Weiblich"
"T_METH"	"Variable Label"	"Seit 2016: Abhaltung einer Lehrveranstaltung mit Methoden- bzw. Methodologiebezug?"
"T_METH"	"0"	"Nein"
"T_METH"	"1"	"Ja"
"T_METH"	"97"	"Information nicht vorhanden"
"T_METH"	"98"	"Online-LV-Beschreibungen nicht eindeutig"
"T_QUAL"	"Variable Label"	"Seit 2016: Abhaltung einer Lehrveranstaltung die qualitative Forschungsdaten nutzte?"
"T_QUAL"	"0"	"Nein"
"T_QUAL"	"1"	"Ja"
"T_QUAL"	"97"	"Information nicht vorhanden"
"T_QUAL"	"98"	"Online-LV-Beschreibungen nicht eindeutig"
"T_QUAN"	"Variable Label"	"Seit 2016: Abhaltung einer Lehrveranstaltung die quantitative Forschungsdaten nutzte?"
"T_QUAN"	"0"	"Nein"
"T_QUAN"	"1"	"Ja"
"T_QUAN"	"97"	"Information nicht vorhanden"
"T_QUAN"	"98"	"Online-LV-Beschreibungen nicht eindeutig"
"TYPE"	"Variable Label"	"Einrichtungsart"
"TYPE"	"1"	"Öffentliche Universität"
"TYPE"	"2"	"Fachhochschule"
"TYPE"	"3"	"Privatuniversität"
"TYPE"	"99"	"k.A."
"version"	"Variable Label"	"AUSSDA archive version"
