variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"DE01"	"Variable Label"	"Please indicate in which scientific discipline you are active. If you work in multiple scientific disciplines, please indicate the discipline you feel most affiliated with or in which you spend most of your time. [...]"
"DE01"	"1"	"Natural sciences"
"DE01"	"2"	"Engineering and technology"
"DE01"	"3"	"Medical and health sciences"
"DE01"	"4"	"Humanities"
"DE01"	"5"	"Social sciences"
"DE01"	"6"	"Agricultural sciences"
"DE19"	"Variable Label"	"What is the scientific discipline of your highest educational achievement?"
"DE19"	"1"	"Natural sciences"
"DE19"	"2"	"Engineering and technology"
"DE19"	"3"	"Medical and health sciences"
"DE19"	"4"	"Humanities"
"DE19"	"5"	"Social sciences"
"DE02"	"Variable Label"	"Please select the European Infrastructures you are currently affiliated with. [...] Please select all European Infrastructures you are affiliated with (multiple choice; alphabetical order)."
"DE04_01"	"Variable Label"	"(a) Hours per week overall ..."
"DE04_01"	"1"	"10-20 hours"
"DE04_01"	"2"	"21-30 hours"
"DE04_01"	"3"	"31-40 hours"
"DE04_01"	"4"	"more than 40 hours"
"DE04_02"	"Variable Label"	"(b) Hours assigned to your RI or CF ..."
"DE04_02"	"1"	"1-10 hours"
"DE04_02"	"2"	"11-20 hours"
"DE04_02"	"3"	"21-30 hours"
"DE04_02"	"4"	"31-40 hours"
"DE04_02"	"5"	"more than 40 hours"
"DE05"	"Variable Label"	"How can you best describe your current role in your organisation?"
"DE05"	"1"	"non-scientific, non-technical staff"
"DE05"	"2"	"technician"
"DE05"	"3"	"scientific staff, research related"
"DE05"	"4"	"scientific staff, non-research related"
"DE05"	"5"	"management and business operations"
"DE05"	"6"	"administrative staff"
"DE06"	"Variable Label"	"Please indicate your gender. This item does not relate to your biological sex, but to the gender identity with which you identify yourself."
"DE06"	"1"	"female"
"DE06"	"2"	"male"
"DE06"	"3"	"non-binary"
"DE06"	"4"	"prefer to self-describe:"
"DE06"	"5"	"prefer not to say"
"DE07"	"Variable Label"	"Please indicate the year in which you were born. Please use four figures, such as \"1966\" or \"2001\"."
"DE07"	"1"	"1948-1960"
"DE07"	"2"	"1961-1973"
"DE07"	"3"	"1974-1987"
"DE07"	"4"	"1988-2001"
"DE08"	"Variable Label"	"How many years have you worked in research or in Research Infrastructures and Core Facilities?"
"DE08"	"1"	"0-5 years"
"DE08"	"2"	"6-10 years"
"DE08"	"3"	"11-15 years"
"DE08"	"4"	"16-20 years"
"DE08"	"5"	"21-25 years"
"DE08"	"6"	"25-30 years [typo / 26-30 years]"
"DE08"	"7"	"31-35 years"
"DE08"	"8"	"36 or more years"
"DE09"	"Variable Label"	"Have you completed a doctoral degree/PhD?"
"DE09"	"1"	"yes"
"DE09"	"2"	"no, running but not yet finished"
"DE09"	"3"	"no, but I plan to start a doctoral / PhD programme sometime in the future"
"DE09"	"4"	"no, not planned at this time"
"DE11"	"Variable Label"	"Please think about the last five years, have you received any grants or awards for your research activities?"
"DE11"	"-1"	"No."
"DE11"	"1"	"1"
"DE11"	"2"	"2"
"DE11"	"3"	"more than 2"
"DE11_01"	"Variable Label"	"Yes, on an institutional or regional level."
"DE11_01"	"1"	"not selected"
"DE11_01"	"2"	"selected"
"DE11_02"	"Variable Label"	"Yes, on a national level."
"DE11_02"	"1"	"not selected"
"DE11_02"	"2"	"selected"
"DE11_03"	"Variable Label"	"Yes, on a European level."
"DE11_03"	"1"	"not selected"
"DE11_03"	"2"	"selected"
"DE11_04"	"Variable Label"	"Yes, on an international level."
"DE11_04"	"1"	"not selected"
"DE11_04"	"2"	"selected"
"DE12"	"Variable Label"	"Please indicate which of the four academic career levels best describes your current position."
"DE12"	"1"	"R1: First Stage (no responsibility for staff or individual projects)"
"DE12"	"2"	"R2: Recognised (responsibility for smaller projects, limited staff)"
"DE12"	"3"	"R3: Established (responsibility for own projects, grant proposals, some staff)"
"DE12"	"4"	"R4: Leading (responsibility for a CF, RI and/or other institution/s)"
"DE13"	"Variable Label"	"How many individuals are currently working at the RI or CF you are working for the moment at the same site as you?"
"DE13"	"1"	"0-25 colleagues"
"DE13"	"2"	"26-50 colleagues"
"DE13"	"3"	"51-74 colleagues"
"DE13"	"4"	"75-100 colleagues"
"DE13"	"5"	"more than 100 colleagues"
"DE14"	"Variable Label"	"How many of them are full-time employees?"
"DE14"	"1"	"0-25%"
"DE14"	"2"	"26-50%"
"DE14"	"3"	"51-74%"
"DE14"	"4"	"75-100%"
"DE15"	"Variable Label"	"Are you a team leader for any of them?"
"DE15"	"1"	"Yes. Number of team members:"
"DE15_01"	"Variable Label"	"Yes. Number of team members"
"DE15_01"	"1"	"1-25 team members"
"DE15_01"	"2"	"26-50 team members"
"DE15_01"	"3"	"51-74 team members"
"DE15_01"	"4"	"75-100 team members"
"DE15_01"	"5"	"more than 100 team members"
"DE16"	"Variable Label"	"Did you spend some time abroad during your professional education, studies or professional career?"
"DE16"	"-1"	"No."
"DE16"	"1"	"1"
"DE16"	"2"	"more than 1"
"DE16_01"	"Variable Label"	"Yes, during my professional education or studies. Duration of stay(s) in months"
"DE16_01"	"1"	"not selected"
"DE16_01"	"2"	"selected"
"DE16_01a"	"Variable Label"	"Yes, during my professional education or studies. Duration of stay(s) in months (offene Eingabe)"
"DE16_01a"	"1"	"0-25 months"
"DE16_01a"	"2"	"26-51 months"
"DE16_01a"	"3"	"52-77 months"
"DE16_01a"	"4"	"more than 77 months"
"DE16_02"	"Variable Label"	"Yes, during my professional career. Duration of stay(s) in months"
"DE16_02"	"1"	"not selected"
"DE16_02"	"2"	"selected"
"DE16_02a"	"Variable Label"	"Yes, during my professional career. Duration of stay(s) in months (offene Eingabe)"
"DE16_02a"	"1"	"0-25 months"
"DE16_02a"	"2"	"26-51 months"
"DE16_02a"	"3"	"52-77 months"
"DE16_02a"	"4"	"more than 77 months"
"DE16_03"	"Variable Label"	"I am currently working abroad. Current duration of stay(s) in months"
"DE16_03"	"1"	"not selected"
"DE16_03"	"2"	"selected"
"DE16_03a"	"Variable Label"	"I am currently working abroad. Current duration of stay(s) in months (offene Eingabe)"
"DE16_03a"	"1"	"0-100 months"
"DE16_03a"	"2"	"101-200 months"
"DE16_03a"	"3"	"more than 200 months"
"DE17"	"Variable Label"	"How often did you change employers within academia (Universities, RIs, CFs, other research institutes) before your current one?"
"DE17"	"0"	"0"
"DE17"	"1"	"1"
"DE17"	"2"	"2"
"DE17"	"3"	"3"
"DE17"	"4"	"4"
"DE17"	"5"	"more than 4"
"DE18"	"Variable Label"	"Is your position currently a fixed term contract or is your contract without any term limit?"
"DE18"	"1"	"It is a fixed term contract (less than a year)"
"DE18"	"2"	"It is a fixed term contract (more than one year, up to two years)"
"DE18"	"3"	"It is a fixed term contract (more than two years, up to four years)"
"DE18"	"4"	"It is a fixed term contract (more than four years)"
"DE18"	"5"	"I have no term limit / my employment is indefinitely"
"TW13_01"	"Variable Label"	"Work for the scientific profile / community (e.g. reviewing, participating at conferences, writing papers / books / chapters / research reports etc.)"
"TW13_01"	"1"	"I do not spend time on this task at all"
"TW13_01"	"2"	"I spend only (very) little time on this task"
"TW13_01"	"3"	"I spend some time on this task"
"TW13_01"	"4"	"I spend a lot of time on this task"
"TW13_02"	"Variable Label"	"Conducting empirical work (lab work, survey or interview work, expeditions, data analysis etc.)"
"TW13_02"	"1"	"I do not spend time on this task at all"
"TW13_02"	"2"	"I spend only (very) little time on this task"
"TW13_02"	"3"	"I spend some time on this task"
"TW13_02"	"4"	"I spend a lot of time on this task"
"TW13_03"	"Variable Label"	"Development and acquiring of new methods and technologies"
"TW13_03"	"1"	"I do not spend time on this task at all"
"TW13_03"	"2"	"I spend only (very) little time on this task"
"TW13_03"	"3"	"I spend some time on this task"
"TW13_03"	"4"	"I spend a lot of time on this task"
"TW13_04"	"Variable Label"	"Preparing and acquiring grants"
"TW13_04"	"1"	"I do not spend time on this task at all"
"TW13_04"	"2"	"I spend only (very) little time on this task"
"TW13_04"	"3"	"I spend some time on this task"
"TW13_04"	"4"	"I spend a lot of time on this task"
"TW13_05"	"Variable Label"	"Maintaining infrastructure and equipment"
"TW13_05"	"1"	"I do not spend time on this task at all"
"TW13_05"	"2"	"I spend only (very) little time on this task"
"TW13_05"	"3"	"I spend some time on this task"
"TW13_05"	"4"	"I spend a lot of time on this task"
